person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22.0,1,3,162959.0,0,0,10800.0,0,8.0,0.07,4.0,592,1,0
22.0,1,0,47729.0,0,3,7000.0,4,8.9,0.15,3.0,626,0,1
28.0,0,3,14898.0,6,2,2077.0,1,7.77,0.14,6.0,698,0,1
22.0,1,4,36267.0,1,1,7500.0,0,10.08,0.21,4.0,611,0,1
24.0,1,3,80776.0,0,0,1400.0,5,12.53,0.02,4.0,527,1,0
26.0,0,4,60708.0,4,0,15000.0,2,16.0,0.25,3.0,653,0,0
38.0,0,3,94743.0,12,0,6250.0,1,6.76,0.07,16.0,588,1,0
25.0,0,3,80652.0,1,0,1700.0,3,6.76,0.02,4.0,679,0,1
33.0,0,4,77760.0,12,0,8500.0,0,13.23,0.11,8.0,694,1,0
22.0,1,1,46753.0,1,3,15000.0,4,9.41,0.32,4.0,499,0,1
25.0,0,0,95742.0,2,3,15000.0,1,12.18,0.16,3.0,675,0,1
35.0,0,3,106164.0,13,3,28000.0,3,18.28,0.26,10.0,657,0,1
28.0,0,0,38482.0,6,3,6000.0,4,15.33,0.16,9.0,567,1,0
30.0,0,0,66619.0,5,3,15800.0,0,14.72,0.24,9.0,546,1,0
27.0,1,3,34239.0,3,3,6000.0,5,13.92,0.18,6.0,631,1,0
27.0,0,1,49180.0,4,3,8000.0,5,15.65,0.16,6.0,636,0,1
23.0,0,3,63420.0,0,3,2500.0,5,11.01,0.04,3.0,639,0,0
29.0,1,0,119913.0,6,3,8000.0,2,12.99,0.07,8.0,683,0,0
31.0,1,1,25106.0,9,3,8189.0,3,13.08,0.33,10.0,618,0,1
26.0,0,0,79163.0,3,3,21000.0,0,14.09,0.27,3.0,627,0,1
47.0,1,0,46637.0,24,3,13000.0,3,11.7,0.28,18.0,705,0,1
